,urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,html,languages,encoding,redirect
0,"ru,pstu,itas)/robots.txt",20191112101905,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,671,483149,crawl-data/CC-MAIN-2019-47/segments/1573496665521.72/robotstxt/CC-MAIN-20191112101343-20191112125343-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
1,"ru,pstu,itas)/robots.txt",20191113063428,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,672,566081,crawl-data/CC-MAIN-2019-47/segments/1573496666229.84/robotstxt/CC-MAIN-20191113063049-20191113091049-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
2,"ru,pstu,itas)/robots.txt",20191117115603,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,672,542575,crawl-data/CC-MAIN-2019-47/segments/1573496668954.85/robotstxt/CC-MAIN-20191117115233-20191117143233-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
3,"ru,pstu,itas)/robots.txt",20191117102206,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,671,691813,crawl-data/CC-MAIN-2019-47/segments/1573496668910.63/robotstxt/CC-MAIN-20191117091944-20191117115944-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
4,"ru,pstu,itas)/robots.txt",20191121001935,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,672,582852,crawl-data/CC-MAIN-2019-47/segments/1573496670643.58/robotstxt/CC-MAIN-20191121000300-20191121024300-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
5,"ru,pstu,itas)/robots.txt",20191120033554,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,671,587330,crawl-data/CC-MAIN-2019-47/segments/1573496670448.67/robotstxt/CC-MAIN-20191120033221-20191120061221-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
6,"ru,pstu,itas)/robots.txt",20191120111759,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,671,663864,crawl-data/CC-MAIN-2019-47/segments/1573496670558.91/robotstxt/CC-MAIN-20191120111249-20191120135249-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
7,"ru,pstu,itas)/robots.txt",20191117142725,http://itas.pstu.ru/robots.txt,text/html,text/html,404,XNFFJ6VAXWKDEXG4RE4KTA2W6ENTMXMG,672,679431,crawl-data/CC-MAIN-2019-47/segments/1573496669183.52/robotstxt/CC-MAIN-20191117142350-20191117170350-00301.warc.gz,"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found</h1>
<p>The requested URL /robots.txt was not found on this server.</p>
</body></html>",,,
8,"ru,pstu,itas)/wiki/index.php/%d0%91%d0%b0%d0%ba%d1%83%d0%bd%d0%be%d0%b2_%d0%a0%d0%be%d0%bc%d0%b0%d0%bd_%d0%a0%d0%b0%d0%b8%d1%81%d0%be%d0%b2%d0%b8%d1%87",20191120132222,http://itas.pstu.ru/wiki/index.php/%D0%91%D0%B0%D0%BA%D1%83%D0%BD%D0%BE%D0%B2_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%A0%D0%B0%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87,warc/revisit,,304,,607,4140954,crawl-data/CC-MAIN-2019-47/segments/1573496670558.91/crawldiagnostics/CC-MAIN-20191120111249-20191120135249-00187.warc.gz,,,,
9,"ru,pstu,itas)/wiki/index.php/%d0%9a%d1%83%d1%80%d1%83%d1%88%d0%b8%d0%bd_%d0%94%d0%b0%d0%bd%d0%b8%d0%b8%d0%bb_%d0%a1%d0%b5%d1%80%d0%b3%d0%b5%d0%b5%d0%b2%d0%b8%d1%87",20191120052025,http://itas.pstu.ru/wiki/index.php/%D0%9A%D1%83%D1%80%D1%83%D1%88%D0%B8%D0%BD_%D0%94%D0%B0%D0%BD%D0%B8%D0%B8%D0%BB_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,warc/revisit,,304,,611,3735889,crawl-data/CC-MAIN-2019-47/segments/1573496670448.67/crawldiagnostics/CC-MAIN-20191120033221-20191120061221-00496.warc.gz,,,,
